address,block,reserve0,reserve1
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98b7eb,f4240,113f05d7ccf100
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98b7f6,f3e58,1143749fe193e9
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98b809,f1748,117046b064ee4f
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98cc44,f1360,1174cee7bb6fa1
12ede161c702d1494612d19f05992f43aa6a26fb,98cde2,fbaf60429bb6487,138f53a00ef030
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98ced2,f1611,1171b464f32ad5
12ede161c702d1494612d19f05992f43aa6a26fb,98ced2,fb8795eb663a487,13926e22d734fc
12ede161c702d1494612d19f05992f43aa6a26fb,98ced9,fbaf60429bb6487,138f5861d8a247
54ab5acab926b4268bbb12e8981c36d463837a79,98d3db,a5cf0f3529ce958f1,c5878fb54ebb2d4
54ab5acab926b4268bbb12e8981c36d463837a79,98d48d,bc4fbc95cdb3482f4,adfcdc18b71d859
54ab5acab926b4268bbb12e8981c36d463837a79,98d48d,c678d94bd270848b6,a51b1f7cc6dd859
54ab5acab926b4268bbb12e8981c36d463837a79,98dabd,ca8f887ee76438ee0,a1c87c28a1b5c59
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98e3b9,f22d0,1180716620bfad
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98e4a1,f1612,1171b464f36213
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98f002,f4d80,11b1cc43c692b8
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,98f045,f1613,1171b464f3f04e
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9902d0,fd963,12474ea20d9c7d
12ede161c702d1494612d19f05992f43aa6a26fb,990426,170302b488dc1067,1c7114fdc8e247
12ede161c702d1494612d19f05992f43aa6a26fb,990452,fd35d8b6832ac0d,138f5861d8a248
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,990452,180647,1b290b3dfddc7d
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,990457,645187,6e201655873ae7
12ede161c702d1494612d19f05992f43aa6a26fb,990466,53c8c19043071870,6685d6d8c662e2
54ab5acab926b4268bbb12e8981c36d463837a79,991996,cbbb8ba7f96d16085,a0daf507ee3f859
12ede161c702d1494612d19f05992f43aa6a26fb,993bc0,53c8b877f4947870,6685e20264649d
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9946b3,613141,71ad94fa4dbae7
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9946b6,6421c4,6e59c1892a68b2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,995dc7,64e4a1,6d8542dca45106
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,995dc7,65a862,6e59c1892a68b2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,995e7b,586f0e,7ee6cae5a81968
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,995e7b,65a862,91e0b3f8eb68b2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996125,604e4e,9a024184b17bc9
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996125,65a862,a2913d56616fa2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996394,5c1ad6,b37aafb8b40a05
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996394,65a862,c6182fc6226fa2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99674d,59bc7e,aedd244daf765e
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99674d,65a862,9a696bd1e38d0e
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996ad5,5d6f25,a80b107708a4f2
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996ad5,65a862,b6d560f8178d0e
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,996b88,668cdd,b53f3d645fb956
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9976d2,2e451d,1925e9392f77460
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9976d2,668cdd,37bca2e1f73b956
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9977e5,ff235d,167172038c56af6
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9982e8,1348b3d,12916fba552f25e
07f068ca326a469fc1d87d85d448990c8cba7df9,998387,46791fc84e07d00000,5f5e100
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,9983d0,13611dd,127a1d3d4f78958
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,998407,145541d,1362e3147e49855
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,998414,143cd7d,137a58290985621
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,998420,1158e460913d00000,1312d00
a478c2975ab1ea89e8196811f51a7b7ade33eb11,998432,ad78ebc5ac6200000,de0b6b3a7640000
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,998449,1349d90,129078aa4ddcdff
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99847a,ad78ec5731492a000,de0b6a80c196736
a478c2975ab1ea89e8196811f51a7b7ade33eb11,998498,ad791b9f142b7f14c,de0b2e2a5387fe9
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,998498,13499a8,1290b500bbeb54c
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99849e,b358131cc8ea07623,e58ef62ca892e11
ce407cd7b95b39d3b4d53065e711e713dd5c5999,9984cb,1b20325c653bcf6,163642ce166a72360a
ce407cd7b95b39d3b4d53065e711e713dd5c5999,9984d9,d90192e329de84,b1b21670b35398c22
33c2d48bc95fb7d0199c5c693e7a9f527145a9af,9985f8,4529ec2c641aad20,4753f6bc2e0a25da
33c2d48bc95fb7d0199c5c693e7a9f527145a9af,998603,3d9,3f8
b6909b960dbbe7392d405429eb2b3649752b4838,99886d,de0b6b3a7640000,38d7ea4c68000
a478c2975ab1ea89e8196811f51a7b7ade33eb11,998ab7,b53ebb35eab1911d6,e32868dfdd32212
a478c2975ab1ea89e8196811f51a7b7ade33eb11,998ab7,b7291227ca2587623,e58ef62ca892e11
a478c2975ab1ea89e8196811f51a7b7ade33eb11,9990f6,b7292e9eab40999a4,e58ed29b4b5afdc
a478c2975ab1ea89e8196811f51a7b7ade33eb11,9990f6,b7294affb471ef623,e58ef62ca892e11
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99921a,b727076001e60edbf,e591ced87aab7ed
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99921a,b7294affb471ef623,e594a55db036e10
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99921f,b727076001e60ede4,e591ced87aab7ee
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99921f,b7294affb471ef623,e58efa8a2a2d60d
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999222,b6bcfb7713cfe7dee,e6177318e76b689
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999222,b7294affb471ef623,e69fd3bb98ed60b
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99923f,132c61d,12ad163b642e9a1
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99923f,13499a8,12c98ceb085354c
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999396,b649853c7dd3c9e6f,e7bbca0e94abc03
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999396,b7294affb471ef623,e8d842e294fd60a
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,999398,123dc16,13de3f489e51957
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,999398,13499a8,1501fc12046354c
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99939a,b649853c7dd3c9f3c,e7bbca0e94abc04
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99939a,b7294affb471ef623,e6a1852c1aee5d1
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99939e,123dc17,13de3f511b94622
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99939e,13499a8,12cb1e75597f7b8
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999539,de9439d056f863319,bde35e4482fc0f2
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999539,10e56043d3a5839302,e6a1852c1aee5d1
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99970f,e2f7c94bcf3fb9302,112d4dff3bc41da8
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,999715,11a08ae,112cf25096f8009
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,999715,13499a8,fb37782fcb5be9
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999735,e2c08c4c52ea90ca4,11291fcdc6af63c5
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999735,e2f7c94bcf3fb9302,1124f5d520234279
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99985f,12d1416,f517f3ae22156d
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99985f,13499a8,ef231eb6854148
a478c2975ab1ea89e8196811f51a7b7ade33eb11,999887,dcec38370b09cc1f7,10b00ffa4a1ba168
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,999ec0,fd1d29,123b7a43d324148
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99a024,11591d64ffded7036,1312918
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99a736,dc02dc5855b439cd9,10c1d0da6ff76cdb
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99a736,dcec38370b09cc1f7,10d396ecb9dca167
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99a739,dc02dc5855b439d3b,10c1d0da6ff76cdc
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99a739,dcec38370b09cc1f7,10b02b18126316e5
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99a92f,f6e659,12b14e078371942
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99a92f,fd1d29,1329be7b2f826e6
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99ace9,dff77e,15aa19deebeef60
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99ace9,fd1d29,187bdf93b6ea89b
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ad30,d44903c745f1e5ce4,115e84bf186b4c9a
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ad30,dcec38370b09cc1f7,121370906fed16e4
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ae25,dcd6adf20308b22ff,12153545d204bff1
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ae25,dcec38370b09cc1f7,1216f8cbadfb2f06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99aff8,dcc0feb3f89c211a2,121a864a52c1af06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b15a,10498d2465b4572690,f57bf1a8d7dd050
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b15a,1337d7496cecd211a2,121a864a52c1af06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b165,1049929a912e711cea,f57c43fa371b976
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b165,1337d7496cecd211a2,d024fce6ba10e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b16d,11737e87e4a4d1d6e8,e5487b3b23f0e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b16d,ffb6b61a396ceb517,fa6bf98f8dd0e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b171,ffb6605ad125f61ef,fa6ba5966d1c025
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b171,ffb6b61a396ceb517,fa6b51dde62fced
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b1af,6baf23,39a63eef8abdff5
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b1af,fd1d29,87819530f20a89b
